WORDS,FREQ
corporate,6.0
corpus,2.0
corrolating,1.0
could,5.0
country,1.0
countryside,1.0
course,2.0
cover,26.0
covet,2.0
coveted,2.0
craft,4.0
crave,2.0
create,4.0
creation,4.0
credential,4.0
critical,2.0
crowfunding,2.0
crucial,4.0
culture,2.0
curious,2.0
current,1.0
currently,4.0
customer,2.0
customize,2.0
cut,2.0
d3,8.0
dance,7.0
dark,1.0
darkness,1.0
data,14.0
datasets,1.0
dauphine,4.0
day,2.0
dbldn,2.0
de,2.0
dear,12.0
decide,6.0
decine,2.0
dedicate,4.0
dedication,4.0
deep,14.0
deepen,2.0
define,4.0
degree,6.0
deja,1.0
delivering,4.0
demonstrate,7.0
depression,2.0
derivative,8.0
description,2.0
desparately,1.0
detection,2.0
deutsche,30.0
develop,8.0
developer,32.0
development,18.0
developped,9.0
devote,1.0
different,9.0
difficulty,2.0
digital,2.0
dipl,2.0
discourage,1.0
discover,2.0
discussion,8.0
display,2.0
disposal,4.0
div,1.0
diversity,4.0
division,4.0
dl,2.0
do,2.0
doctorate,2.0
document,2.0
docx,2.0
dolt,1.0
doubt,2.0
download,1.0
downloaded,16.0
draw,4.0
drop,1.0
duality,4.0
duty,2.0
e,8.0
earlier,4.0
early,2.0
economic,2.0
ecosystem,5.0
edge,2.0
effect,1.0
effectively,1.0
effort,2.0
either,2.0
elder,1.0
else,3.0
email,4.0
embryology,2.0
emotion,4.0
emotional,1.0
emploi,8.0
employment,10.0
encounter,1.0
end,1.0
energy,1.0
engage,4.0
engineering,6.0
enough,1.0
enter,4.0
enthusiasm,4.0
entire,1.0
entirety,2.0
entity,1.0
entrepreneurship,2.0
environment,8.0
equity,8.0
escape,1.0
essential,6.0
even,12.0
event,1.0
eventually,1.0
ever,4.0
everyone,4.0
everything,2.0
example,5.0
excellence,8.0
excellent,4.0
excuse,1.0
exercise,2.0
exotic,4.0
expand,4.0
experience,12.0
explain,3.0
extraction,4.0
extractive,1.0
f,4.0
fabien,14.0
face,1.0
facial,4.0
family,1.0
far,2.0
farmer,4.0
fatality,2.0
favourable,4.0
feel,13.0
feeling,4.0
felt,2.0
fff,1.0
field,10.0
fill,1.0
final,8.0
finally,1.0
finance,6.0
financial,16.0
find,4.0
firm,4.0
first,15.0
fit,2.0
five,4.0
fix,2.0
flask,8.0
floor,4.0
focus,4.0
focusing,2.0
follow,4.0
following,10.0
font,3.0
fool,1.0
footer,1.0
force,1.0
forceful,1.0
formascience,2.0
forward,4.0
france,2.0
free,4.0
french,10.0
freshman,1.0
friend,3.0
fuck,1.0
fully,2.0
fun,3.0
g,2.0
gain,4.0
game,32.0
generale,4.0
genetics,2.0
geneva,2.0
gentle,1.0
geospatial,2.0
get,11.0
girl,5.0
git,1.0
github,16.0
give,7.0
global,7.0
gmail,6.0
go,10.0
goal,2.0
good,4.0
goodbye,1.0
grab,2.0
grade,1.0
gradient,5.0
graduate,14.0
grammar,1.0
grandparent,2.0
graph,8.0
gratify,4.0
great,2.0
group,20.0
growth,6.0
guideline,2.0
gynecology,2.0
h1,1.0
hair,1.0
half,1.0
hand,1.0
handle,19.0
handwrite,1.0
hang,1.0
happen,1.0
happiness,2.0
happy,22.0
hard,9.0
hate,1.0
head,1.0
hear,3.0
heart,3.0
heartbreak,1.0
hec,2.0
height,5.0
hell,2.0
hello,34.0
help,3.0
hesitate,2.0
hide,2.0
high,6.0
highlight,2.0
highly,14.0
hiring,6.0
hold,1.0
hole,1.0
honesty,4.0
honour,4.0
hope,4.0
hospital,2.0
hotpotqa,1.0
http,8.0
https,2.0
humaine,2.0
humility,6.0
hundred,4.0
hurt,1.0
hybrid,2.0
idea,4.0
ignore,1.0
illustrate,4.0
image,5.0
impact,5.0
impart,1.0
important,7.0
importantly,2.0
impress,4.0
improve,5.0
improvement,1.0
include,7.0
increase,2.0
increasingly,2.0
incredible,2.0
indescribable,1.0
index,1.0
individual,21.0
individually,16.0
inexperienced,1.0
information,4.0
infrastructure,2.0
infuriated,1.0
inline,2.0
innovate,2.0
innovation,8.0
input,5.0
inside,1.0
inspire,4.0
instance,4.0
institution,4.0
instructor,3.0
insulted,1.0
insurance,4.0
integrate,1.0
intellectual,4.0
intensive,2.0
intention,1.0
interact,8.0
interest,6.0
interested,2.0
interface,8.0
intern,4.0
internship,20.0
interpersonal,4.0
intership,2.0
interview,6.0
intimidate,1.0
intrinsic,4.0
introduce,3.0
involve,4.0
io,24.0
j,10.0
job,9.0
join,8.0
joined,2.0
jon,1.0
journey,2.0
joy,1.0
justification,1.0
keep,6.0
kera,2.0
key,5.0
kill,5.0
kind,1.0
kingdom,2.0
know,12.0
knowledge,9.0
l,6.0
label,2.0
labeled,1.0
laboratory,2.0
land,2.0
landmark,2.0
language,3.0
large,3.0
lately,16.0
laugh,1.0
launch,2.0
lausanne,8.0
le,8.0
lead,7.0
leadership,4.0
learn,17.0
learning,21.0
least,4.0
leave,7.0
lecture,4.0
lederman,6.0
left,3.0
lesson,2.0
let,3.0
letter,23.0
letterpe,2.0
lettersummer,2.0
lettrepe,6.0
level,2.0
leverage,3.0
lie,1.0
life,7.0
lift,1.0
light,1.0
lightblue,1.0
like,20.0
limit,1.0
line,2.0
linear,5.0
linguistic,1.0
link,1.0
lionel,4.0
list,2.0
listen,2.0
little,1.0
live,1.0
living,1.0
logic,1.0
logical,2.0
london,10.0
long,8.0
longer,1.0
look,7.0
loomky,4.0
lose,1.0
loser,1.0
love,7.0
m,6.0
machine,7.0
madam,6.0
mailto,4.0
main,2.0
maintain,4.0
make,6.0
manage,1.0
manager,6.0
mandatory,4.0
manner,1.0
many,8.0
margin,5.0
market,26.0
marry,1.0
master,10.0
match,4.0
mathematical,2.0
matter,2.0
maximum,4.0
may,7.0
maybe,1.0
md,2.0
mean,1.0
meaning,1.0
measurable,2.0
medical,8.0
medicine,2.0
meet,9.0
member,4.0
memoir,2.0
memory,1.0
message,2.0
method,5.0
microsoft,2.0
mieko,4.0
mind,3.0
mindedness,4.0
mine,2.0
minute,2.0
miss,2.0
mistake,3.0
mobile,16.0
model,22.0
modeling,2.0
mold,1.0
moment,3.0
monitor,16.0
month,25.0
morning,1.0
motion,1.0
motivate,2.0
move,6.0
moz,2.0
much,4.0
multidisciplinary,2.0
multimodal,2.0
multiple,1.0
music,4.0
must,1.0
mutual,4.0
myblog,6.0
n,6.0
name,4.0
natural,3.0
naturally,1.0
navy,2.0
negative,1.0
neu,1.0
never,9.0
new,13.0
next,4.0
night,2.0
nlp,2.0
non,2.0
nosql,2.0
nothing,2.0
number,2.0
numerous,4.0
observer,4.0
obstetrics,2.0
obtain,8.0
october,4.0
offer,3.0
office,4.0
oh,1.0
old,3.0
oncology,2.0
one,15.0
opacity,1.0
open,13.0
opportunity,17.0
orchestra,4.0
order,4.0
orientation,1.0
otcex,4.0
others,3.0
outcome,20.0
outlook,4.0
outside,8.0
outstanding,4.0
overall,4.0
overtime,1.0
p,12.0
package,1.0
padding,1.0
paper,1.0
parent,1.0
paris,14.0
paristech,6.0
part,26.0
particular,5.0
party,1.0
passion,4.0
past,2.0
patience,1.0
patient,1.0
pay,1.0
peer,1.0
people,6.0
perceive,2.0
percieved,1.0
perform,5.0
performance,7.0
perrin,4.0
person,2.0
personal,2.0
phd,6.0
phone,4.0
pig,8.0
place,2.0
plan,4.0
platform,14.0
play,1.0
please,7.0
pleasure,4.0
point,4.0
portfolio,4.0
position,12.0
positive,1.0
post,2.0
practice,1.0
precise,4.0
prediction,1.0
preferred,2.0
prepare,3.0
present,6.0
presentation,4.0
pressure,4.0
pretend,2.0
previous,2.0
problem,1.0
processing,4.0
product,6.0
productivity,2.0
profession,4.0
professional,4.0
program,4.0
programme,4.0
progress,20.0
project,80.0
prom,1.0
promise,2.0
promising,4.0
prompt,1.0
protect,2.0
provide,8.0
public,2.0
purpose,8.0
pursue,6.0
pursuit,4.0
push,1.0
put,4.0
python,8.0
qa,1.0
qualify,2.0
qualitative,2.0
quality,12.0
quantitative,3.0
quarel,1.0
question,21.0
r,6.0
radio,3.0
radius,1.0
rain,1.0
ral,3.0
rank,8.0
raphael,6.0
rarely,1.0
reach,2.0
read,5.0
ready,3.0
real,4.0
realise,4.0
realize,2.0
really,1.0
reason,1.0
reasoning,2.0
recamier,2.0
recent,4.0
recently,4.0
recognition,4.0
recommend,8.0
recruiting,2.0
recruitment,2.0
reduce,1.0
refer,2.0
regard,11.0
regularizer,1.0
reinforce,4.0
reject,3.0
remain,4.0
remarkable,4.0
remember,1.0
rental,2.0
repository,8.0
require,6.0
research,2.0
respect,2.0
respective,4.0
respond,1.0
response,1.0
responsibility,4.0
result,3.0
resume,2.0
retire,1.0
review,6.0
rewarding,4.0
rgb,12.0
rid,1.0
right,6.0
risk,2.0
rnns,2.0
roberta,1.0
rotate,5.0
row,1.0
rudeness,1.0
rue,4.0
rule,1.0
sabbatical,2.0
safe,1.0
safety,1.0
sale,6.0
save,2.0
say,7.0
scared,1.0
scenario,6.0
school,7.0
science,12.0
scientific,4.0
scientist,2.0
score,4.0
scream,1.0
second,2.0
secure,2.0
see,3.0
seek,6.0
seem,4.0
selective,4.0
self,2.0
send,1.0
september,8.0
series,2.0
service,6.0
set,2.0
several,8.0
share,6.0
short,2.0
show,4.0
showcase,2.0
sick,1.0
side,3.0
significantly,1.0
since,24.0
sincerely,8.0
sir,6.0
sit,2.0
situation,2.0
six,4.0
sixth,2.0
size,2.0
skill,13.0
sleepless,1.0
slow,1.0
small,3.0
societe,4.0
solid,1.0
someone,5.0
sometimes,2.0
song,1.0
sound,2.0
source,8.0
space,2.0
spacing,1.0
span,1.0
speak,16.0
speaker,2.0
special,2.0
specific,4.0
spider,2.0
spotlight,1.0
sql,2.0
stage,2.0
stand,1.0
standard,4.0
start,5.0
state,3.0
statistic,6.0
status,3.0
step,4.0
still,2.0
stimulating,2.0
stood,1.0
stop,1.0
story,1.0
straight,1.0
strasbourg,2.0
strengthen,4.0
strike,2.0
strong,4.0
strongly,2.0
struggle,1.0
student,20.0
study,26.0
stunning,1.0
suggestion,2.0
suicide,1.0
summary,5.0
summer,12.0
suppose,1.0
sure,1.0
surprise,3.0
svm,2.0
swelling,1.0
switzerland,2.0
synergy,4.0
synonymous,2.0
system,2.0
tackle,2.0
take,28.0
talented,5.0
talk,2.0
task,3.0
taste,4.0
teach,8.0
team,44.0
tease,1.0
technical,4.0
technicality,4.0
technique,2.0
technology,2.0
telecom,9.0
tell,2.0
tensorflow,2.0
term,4.0
text,9.0
thank,4.0
thanks,4.0
theory,2.0
therefore,8.0
thing,3.0
think,16.0
thinking,1.0
third,2.0
though,1.0
thought,4.0
thouly,4.0
threaten,1.0
three,6.0
thrill,4.0
throat,1.0
throughout,4.0
thus,6.0
time,35.0
tire,2.0
tonia,2.0
tool,11.0
top,17.0
topic,2.0
trade,4.0
trading,12.0
train,1.0
trained,1.0
training,9.0
transaction,4.0
transform,5.0
travel,4.0
treasure,2.0
treatable,1.0
true,2.0
truly,2.0
truth,1.0
try,3.0
twice,1.0
two,1.0
type,4.0
typical,1.0
u,6.0
unanswered,2.0
uncle,1.0
united,2.0
university,22.0
upon,2.0
use,25.0
useless,3.0
ut,1.0
utmost,4.0
v,2.0
valuable,4.0
value,11.0
variety,1.0
vast,2.0
vaudoise,4.0
veamly,2.0
vehement,1.0
vertical,1.0
video,4.0
violation,1.0
violin,4.0
vision,10.0
visit,4.0
visualization,8.0
visually,1.0
vivadata,2.0
void,1.0
vu,1.0
wanago,2.0
want,6.0
war,1.0
way,10.0
weak,1.0
web,10.0
webkit,2.0
welcome,2.0
well,9.0
width,4.0
wilbur,5.0
willing,4.0
wiqa,1.0
wisdom,1.0
within,1.0
without,1.0
woman,1.0
word,5.0
work,92.0
working,2.0
worry,1.0
worthless,1.0
would,19.0
write,6.0
wrong,1.0
yeah,1.0
year,14.0
yet,2.0
york,4.0
young,5.0
z,1.0
